Date,DateCode,Open,High,Low,Close,Volume,High/low ratio,1 day slope,3 days slope,5 days slope,7 days slope,11 days slope,31 days slope
12/12/1980,1,0.51,0.52,0.51,0.51,2093900,1.019607843,0,-0.02,-0.006,0.002857143,0.011818182,0.001428571
15/12/1980,2,0.49,0.49,0.49,0.49,785200,1,0,-0.01,0.002,0.008571429,0.012727273,0.002857143
16/12/1980,3,0.45,0.45,0.45,0.45,472000,1,0,0.01,0.016,0.018571429,0.014545455,0.005238095
17/12/1980,4,0.46,0.46,0.46,0.46,385900,1,0,0.013333333,0.018,0.024285714,0.014545455,0.004285714
18/12/1980,5,0.48,0.48,0.48,0.48,327900,1,0,0.016666667,0.02,0.022857143,0.010909091,0.005238095
19/12/1980,6,0.5,0.51,0.5,0.5,217100,1.02,0,0.016666667,0.026,0.018571429,0.007272727,0.003333333
22/12/1980,7,0.53,0.53,0.53,0.53,166800,1,0,0.016666667,0.022,0.011428571,0.001818182,0.002380952
23/12/1980,8,0.55,0.55,0.55,0.55,209600,1,0,0.026666667,0.016,0.01,-0.000909091,0.001904762
24/12/1980,9,0.58,0.58,0.58,0.58,214300,1,0,0.02,0.006,0.002857143,-0.000909091,0
26/12/1980,10,0.63,0.64,0.63,0.63,248100,1.015873016,0,0,-0.002,-0.007142857,-0.006363636,-0.002380952
29/12/1980,11,0.64,0.65,0.64,0.64,415900,1.015625,0,-0.01,-0.008,-0.012857143,-0.009090909,-0.003333333
30/12/1980,12,0.63,0.63,0.63,0.63,307500,1,0,-0.003333333,-0.01,-0.012857143,-0.007272727,-0.003809524
31/12/1980,13,0.61,0.61,0.61,0.61,159600,1,0,-0.003333333,-0.012,-0.005714286,-0.004545455,-0.003809524
02/01/1981,14,0.62,0.62,0.62,0.62,96700,1,0,-0.013333333,-0.016,-0.008571429,-0.006363636,-0.005714286
05/01/1981,15,0.6,0.6,0.6,0.6,159500,1,0,-0.016666667,-0.006,-0.008571429,-0.000909091,-0.005714286
06/01/1981,16,0.58,0.58,0.58,0.58,201600,1,0,-0.013333333,-0.004,-0.004285714,-0.000909091,-0.004285714
07/01/1981,17,0.55,0.55,0.55,0.55,248600,1,0,0.006666667,-0.002,0.001428571,0.002727273,-0.001904762
08/01/1981,18,0.54,0.54,0.54,0.54,177800,1,0,0.006666667,0.002,0.001428571,0.004545455,-0.001428571
09/01/1981,19,0.57,0.57,0.57,0.57,96000,1,0,-0.01,-0.002,0.002857143,0.000909091,-0.002857143
12/01/1981,20,0.56,0.57,0.56,0.56,105800,1.017857143,0,-0.003333333,-0.002,0.001428571,0.001818182,-0.003333333
13/01/1981,21,0.54,0.55,0.54,0.54,102900,1.018518519,0,0.006666667,0.01,0.005714286,0.002727273,-0.002380952
14/01/1981,22,0.55,0.55,0.55,0.55,63800,1,0,0,0.004,0.005714286,0,-0.003809524
15/01/1981,23,0.56,0.56,0.56,0.56,62800,1,0,0.01,0.004,0.002857143,-0.002727273,-0.004285714
16/01/1981,24,0.55,0.56,0.55,0.55,59800,1.018181818,0,0.006666667,0.008,0.004285714,-0.004545455,-0.004285714
19/01/1981,25,0.59,0.59,0.59,0.59,185600,1,0,-0.003333333,-0.002,-0.002857143,-0.01,-0.005714286
20/01/1981,26,0.57,0.57,0.57,0.57,134300,1,0,0.006666667,0.002,-0.002857143,-0.007272727,-0.003809524
21/01/1981,27,0.58,0.58,0.58,0.58,71000,1,0,0,-0.002,-0.007142857,-0.006363636,-0.005714286
22/01/1981,28,0.59,0.59,0.59,0.59,158700,1,0,-0.003333333,-0.008,-0.012857143,-0.007272727,-0.007619048
23/01/1981,29,0.58,0.59,0.58,0.58,50100,1.017241379,0,-0.003333333,-0.01,-0.014285714,-0.006363636,-0.006666667
26/01/1981,30,0.58,0.58,0.58,0.58,110000,1,0,-0.01,-0.016,-0.012857143,-0.008181818,-0.007619048
27/01/1981,31,0.57,0.58,0.57,0.57,105800,1.01754386,0,-0.013333333,-0.018,-0.008571429,-0.007272727,-0.005714286
28/01/1981,32,0.55,0.56,0.55,0.55,125700,1.018181818,0,-0.016666667,-0.012,-0.005714286,-0.007272727,-0.004285714
29/01/1981,33,0.53,0.54,0.53,0.53,196000,1.018867925,0,-0.016666667,-0.004,-0.002857143,-0.005454545,-0.002857143
30/01/1981,34,0.5,0.51,0.5,0.5,206200,1.02,0,-0.003333333,0.002,-0.001428571,-0.003636364,-0.000952381
02/02/1981,35,0.48,0.48,0.48,0.48,106100,1,0,0.01,0.006,0.001428571,-0.000909091,-0.00047619
03/02/1981,36,0.49,0.5,0.49,0.49,85500,1.020408163,0,0.006666667,0,-0.002857143,0,-0.001428571
04/02/1981,37,0.51,0.51,0.51,0.51,124400,1,0,0,-0.004,-0.005714286,-0.004545455,-0.002380952
05/02/1981,38,0.51,0.52,0.51,0.51,35400,1.019607843,0,-0.006666667,-0.008,-0.007142857,-0.007272727,-0.002380952
06/02/1981,39,0.51,0.52,0.51,0.51,61900,1.019607843,0,-0.006666667,-0.008,-0.005714286,-0.006363636,-0.004285714
09/02/1981,40,0.49,0.49,0.49,0.49,74800,1,0,-0.006666667,-0.006,0,-0.006363636,-0.004285714
10/02/1981,41,0.49,0.49,0.49,0.49,81900,1,0,-0.006666667,-0.004,-0.004285714,-0.003636364,-0.004761905
11/02/1981,42,0.47,0.47,0.47,0.47,61800,1,0,-0.003333333,0.004,-0.005714286,-0.000909091,-0.003333333
12/02/1981,43,0.47,0.47,0.47,0.47,65000,1,0,0,-0.002,-0.004285714,0,-0.003333333
13/02/1981,44,0.46,0.46,0.46,0.46,49800,1,0,0.01,-0.006,-0.005714286,0.001818182,-0.002380952
17/02/1981,45,0.47,0.47,0.47,0.47,54800,1,0,-0.003333333,-0.006,-0.002857143,0,-0.001904762
18/02/1981,46,0.49,0.49,0.49,0.49,85900,1,0,-0.02,-0.014,-0.004285714,-0.002727273,-0.001428571
19/02/1981,47,0.46,0.46,0.46,0.46,99600,1,0,-0.006666667,-0.002,0.001428571,0,0
20/02/1981,48,0.43,0.44,0.43,0.43,108800,1.023255814,0,-0.003333333,0.006,0.007142857,0.002727273,0.001428571
23/02/1981,49,0.44,0.44,0.44,0.44,63000,1,0,0.003333333,0.006,0.004285714,-0.001818182,0.001904762
24/02/1981,50,0.42,0.43,0.42,0.42,75800,1.023809524,0,0.013333333,0.012,0.005714286,-0.001818182,0.002857143
25/02/1981,51,0.45,0.45,0.45,0.45,87000,1,0,0.006666667,0.004,0.001428571,-0.005454545,0.000952381
26/02/1981,52,0.46,0.46,0.46,0.46,48400,1,0,0.006666667,0,0,-0.005454545,0
27/02/1981,53,0.47,0.48,0.47,0.47,65900,1.021276596,0,0,-0.002,-0.007142857,-0.006363636,-0.001428571
02/03/1981,54,0.48,0.48,0.48,0.48,52500,1,0,-0.006666667,-0.004,-0.011428571,-0.006363636,-0.001904762
03/03/1981,55,0.47,0.47,0.47,0.47,72200,1,0,-0.003333333,-0.01,-0.011428571,-0.003636364,-0.001428571
04/03/1981,56,0.46,0.47,0.46,0.46,61200,1.02173913,0,0,-0.012,-0.008571429,0,-0.001428571
05/03/1981,57,0.46,0.46,0.46,0.46,24000,1,0,-0.013333333,-0.014,-0.008571429,0,0.00047619
06/03/1981,58,0.46,0.46,0.46,0.46,51800,1,0,-0.02,-0.012,-0.007142857,0,0.00047619
